POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_iz7_s3be.vasp, Ti3 V2 Cu1, True, True, -44.26880008 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_XYW22Y
./str/POSCAR_S_imeezqyz.vasp, Ti1 V3 Cu2, False, True, -41.90919031 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_NQIZ96
./str/POSCAR_S_s_pu8h93.vasp, Ti1 V1 Cu4, False, True, -31.51359047 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_RT85UO
./str/POSCAR_S_vw5havul.vasp, Ti2 V1 Cu3, True, True, -34.77214811 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_UKKFJA
./str/POSCAR_S_glpb7kbh.vasp, Ti3 V2 Cu1, True, True, -44.48525201 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_HK9B3Z
./str/POSCAR_S_r3_y521d.vasp, Ti1 V2 Cu3, True, True, -36.29926613 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_B90H94
./str/POSCAR_S_fkectiir.vasp, Ti2 V2 Cu2, True, True, -40.40330968 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_59JXEQ
./str/POSCAR_S_rzkgkej8.vasp, Ti1 V3 Cu2, True, True, -41.23168884 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_2RC8RI
./str/POSCAR_S_4rn4gt3f.vasp, Ti2 V1 Cu3, True, True, -34.80703424 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_AYQP2F
./str/POSCAR_S_dl3h90ti.vasp, Ti1 V2 Cu2, True, True, -32.43362135 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_UF7EKM
./str/POSCAR_S__jhdpovz.vasp, Ti1 V2 Cu1, True, True, -28.40523836 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_Y2SDEZ
./str/POSCAR_S_3_my63bp.vasp, Ti1 V3 Cu2, True, True, -41.6592876 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_OZUKLC
./str/POSCAR_S_5uqut4b9.vasp, Ti1 V2 Cu2, True, True, -32.58292019 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_9FPWS5
./str/POSCAR_S_4a31zhj0.vasp, Ti1 V2 Cu3, True, True, -35.82723256 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_30HBO4
./str/POSCAR_S_1iebyutd.vasp, Ti1 V2 Cu3, True, True, -36.08761482 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_CDBFBD
./str/POSCAR_S_draqy0ls.vasp, Ti2 V1 Cu3, True, True, -35.14653638 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_V91L3G
./str/POSCAR_S_fdt39wk6.vasp, Ti3 V2 Cu1, True, True, -44.47904355 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_DO5PXM
./str/POSCAR_S_95kmmb_s.vasp, Ti2 V2 Cu2, True, True, -40.20468006 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_FUT9H5
./str/POSCAR_S_b0kns03a.vasp, Ti3 V1 Cu2, True, True, -39.22614917 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_7XQCQU
./str/POSCAR_S_gfcblltt.vasp, Ti2 V2 Cu2, True, True, -39.99812648 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_IQ3V95
